,atm_name,weekday,festival_religion,working_day,holiday_sequence,trans_date_set,trans_month,trans_year,prevweek_mean,total_amount_withdrawn
516,Mount Road ATM,THURSDAY,N,H,WHW,3,4,2011,641143,288700
521,Mount Road ATM,FRIDAY,NH,W,HWH,3,4,2011,641143,508300
526,Mount Road ATM,SATURDAY,H,H,WHH,4,4,2011,641143,515400
531,Mount Road ATM,SUNDAY,NH,H,HHW,4,4,2011,641143,538600
536,Mount Road ATM,MONDAY,NH,W,HWW,4,4,2011,493100,430500
541,Mount Road ATM,TUESDAY,NH,W,WWW,4,4,2011,493100,673500
546,Mount Road ATM,WEDNESDAY,NH,W,WWW,4,4,2011,493100,530100
551,Mount Road ATM,THURSDAY,NH,W,WWH,5,4,2011,493100,361600
556,Mount Road ATM,FRIDAY,C,H,WHH,5,4,2011,493100,397800
561,Mount Road ATM,SATURDAY,NH,H,HHH,5,4,2011,493100,552300
566,Mount Road ATM,SUNDAY,NH,H,HHW,5,4,2011,493100,278300
571,Mount Road ATM,MONDAY,NH,W,HWW,5,4,2011,460586,251700
576,Mount Road ATM,TUESDAY,NH,W,WWW,6,4,2011,460586,336900
581,Mount Road ATM,WEDNESDAY,NH,W,WWW,6,4,2011,460586,402200
586,Mount Road ATM,THURSDAY,NH,W,WWW,6,4,2011,460586,354000
591,Mount Road ATM,FRIDAY,NH,W,WWH,6,4,2011,460586,382500
596,Mount Road ATM,SATURDAY,NH,H,WHH,6,4,2011,460586,813600
601,Mount Road ATM,SUNDAY,N,H,HHW,1,5,2011,460586,636000
606,Mount Road ATM,MONDAY,NH,W,HWW,1,5,2011,453843,361600
611,Mount Road ATM,TUESDAY,NH,W,WWW,1,5,2011,453843,891100
616,Mount Road ATM,WEDNESDAY,NH,W,WWW,1,5,2011,453843,524100
621,Mount Road ATM,THURSDAY,NH,W,WWW,1,5,2011,453843,730500
626,Mount Road ATM,FRIDAY,NH,W,WWH,2,5,2011,453843,653900
631,Mount Road ATM,SATURDAY,NH,H,WHH,2,5,2011,453843,709400
636,Mount Road ATM,SUNDAY,NH,H,HHW,2,5,2011,453843,526600
641,Mount Road ATM,MONDAY,NH,W,HWW,2,5,2011,628172,495800
646,Mount Road ATM,TUESDAY,NH,W,WWW,2,5,2011,628172,660600
651,Mount Road ATM,WEDNESDAY,NH,W,WWW,3,5,2011,628172,789100
656,Mount Road ATM,THURSDAY,NH,W,WWW,3,5,2011,628172,515700
661,Mount Road ATM,FRIDAY,NH,W,WWH,3,5,2011,628172,608700
666,Mount Road ATM,SATURDAY,NH,H,WHH,3,5,2011,628172,682300
671,Mount Road ATM,SUNDAY,NH,H,HHW,3,5,2011,628172,393900
676,Mount Road ATM,MONDAY,NH,W,HWH,4,5,2011,592300,374900
681,Mount Road ATM,TUESDAY,H,H,WHW,4,5,2011,592300,549400
686,Mount Road ATM,WEDNESDAY,NH,W,HWW,4,5,2011,592300,546100
691,Mount Road ATM,THURSDAY,NH,W,WWW,4,5,2011,592300,659900
696,Mount Road ATM,FRIDAY,NH,W,WWH,4,5,2011,592300,505600
701,Mount Road ATM,SATURDAY,NH,H,WHH,5,5,2011,592300,588700
706,Mount Road ATM,SUNDAY,NH,H,HHW,5,5,2011,592300,347400
711,Mount Road ATM,MONDAY,NH,W,HWW,5,5,2011,510286,880700
716,Mount Road ATM,TUESDAY,NH,W,WWW,5,5,2011,510286,528200
721,Mount Road ATM,WEDNESDAY,NH,W,WWW,5,5,2011,510286,547900
726,Mount Road ATM,THURSDAY,NH,W,WWW,6,5,2011,510286,754400
731,Mount Road ATM,FRIDAY,NH,W,WWH,6,5,2011,510286,737800
736,Mount Road ATM,SATURDAY,NH,H,WHH,6,5,2011,510286,521600
741,Mount Road ATM,SUNDAY,NH,H,HHW,6,5,2011,510286,385100
746,Mount Road ATM,MONDAY,NH,W,HWW,6,5,2011,622243,532000
751,Mount Road ATM,TUESDAY,NH,W,WWW,7,5,2011,622243,441800
756,Mount Road ATM,WEDNESDAY,NH,W,WWW,1,6,2011,622243,831200
761,Mount Road ATM,THURSDAY,NH,W,WWW,1,6,2011,622243,717900
766,Mount Road ATM,FRIDAY,NH,W,WWH,1,6,2011,622243,742800
771,Mount Road ATM,SATURDAY,NH,H,WHH,1,6,2011,622243,759200
776,Mount Road ATM,SUNDAY,NH,H,HHW,1,6,2011,622243,168500
781,Mount Road ATM,MONDAY,NH,W,HWW,2,6,2011,599058,405800
786,Mount Road ATM,TUESDAY,NH,W,WWW,2,6,2011,599058,739700
791,Mount Road ATM,WEDNESDAY,NH,W,WWW,2,6,2011,599058,868800
796,Mount Road ATM,THURSDAY,NH,W,WWW,2,6,2011,599058,686000
801,Mount Road ATM,FRIDAY,NH,W,WWH,2,6,2011,599058,615800
806,Mount Road ATM,SATURDAY,NH,H,WHH,3,6,2011,599058,635200
811,Mount Road ATM,SUNDAY,NH,H,HHW,3,6,2011,599058,417900
816,Mount Road ATM,MONDAY,NH,W,HWW,3,6,2011,624172,589700
821,Mount Road ATM,TUESDAY,NH,W,WWW,3,6,2011,624172,592600
826,Mount Road ATM,WEDNESDAY,NH,W,WWW,3,6,2011,624172,550600
831,Mount Road ATM,THURSDAY,NH,W,WWW,4,6,2011,624172,499700
836,Mount Road ATM,FRIDAY,NH,W,WWH,4,6,2011,624172,486400
841,Mount Road ATM,SATURDAY,NH,H,WHH,4,6,2011,624172,656800
846,Mount Road ATM,SUNDAY,NH,H,HHW,4,6,2011,624172,474400
851,Mount Road ATM,MONDAY,NH,W,HWW,4,6,2011,550029,674500
856,Mount Road ATM,TUESDAY,NH,W,WWW,5,6,2011,550029,303200
861,Mount Road ATM,WEDNESDAY,NH,W,WWW,5,6,2011,550029,454400
866,Mount Road ATM,THURSDAY,NH,W,WWW,5,6,2011,550029,392300
871,Mount Road ATM,FRIDAY,NH,W,WWH,5,6,2011,550029,574000
876,Mount Road ATM,SATURDAY,NH,H,WHH,5,6,2011,550029,486600
881,Mount Road ATM,SUNDAY,NH,H,HHW,6,6,2011,550029,529000
886,Mount Road ATM,MONDAY,NH,W,HWW,6,6,2011,487715,642300
891,Mount Road ATM,TUESDAY,NH,W,WWW,6,6,2011,487715,402000
896,Mount Road ATM,WEDNESDAY,NH,W,WWW,6,6,2011,487715,473000
901,Mount Road ATM,THURSDAY,NH,W,WWW,6,6,2011,487715,483300
906,Mount Road ATM,FRIDAY,NH,W,WWH,1,7,2011,487715,605000
911,Mount Road ATM,SATURDAY,NH,H,WHH,1,7,2011,487715,856500
916,Mount Road ATM,SUNDAY,NH,H,HHW,1,7,2011,487715,668800
921,Mount Road ATM,MONDAY,NH,W,HWW,1,7,2011,590129,1049600
926,Mount Road ATM,TUESDAY,NH,W,WWW,1,7,2011,590129,649000
931,Mount Road ATM,WEDNESDAY,NH,W,WWW,2,7,2011,590129,907400
936,Mount Road ATM,THURSDAY,NH,W,WWW,2,7,2011,590129,435200
941,Mount Road ATM,FRIDAY,NH,W,WWW,2,7,2011,590129,735000
946,Mount Road ATM,SATURDAY,NH,H,WHH,2,7,2011,590129,738500
951,Mount Road ATM,SUNDAY,NH,H,HHW,2,7,2011,590129,349100
956,Mount Road ATM,MONDAY,NH,W,HWW,3,7,2011,694829,612400
961,Mount Road ATM,TUESDAY,NH,W,WWW,3,7,2011,694829,558600
966,Mount Road ATM,WEDNESDAY,NH,W,WWW,3,7,2011,694829,684500
971,Mount Road ATM,THURSDAY,NH,W,WWW,3,7,2011,694829,392400
976,Mount Road ATM,FRIDAY,NH,W,WWH,3,7,2011,694829,442300
981,Mount Road ATM,SATURDAY,NH,H,WHH,4,7,2011,694829,450000
986,Mount Road ATM,SUNDAY,NH,H,HHW,4,7,2011,694829,308200
991,Mount Road ATM,MONDAY,NH,W,HWW,4,7,2011,492629,436900
996,Mount Road ATM,TUESDAY,NH,W,WWW,4,7,2011,492629,390900
1001,Mount Road ATM,WEDNESDAY,NH,W,WWW,4,7,2011,492629,474300
1006,Mount Road ATM,THURSDAY,NH,W,WWW,5,7,2011,492629,570300
1011,Mount Road ATM,FRIDAY,NH,W,WWH,5,7,2011,492629,775300
1016,Mount Road ATM,SATURDAY,NH,H,WHH,5,7,2011,492629,555100
1021,Mount Road ATM,SUNDAY,NH,H,HHW,5,7,2011,492629,610200
1026,Mount Road ATM,MONDAY,NH,W,HWW,5,7,2011,544715,725900
1031,Mount Road ATM,TUESDAY,NH,W,WWW,6,7,2011,544715,323600
1036,Mount Road ATM,WEDNESDAY,NH,W,WWW,6,7,2011,544715,522800
1041,Mount Road ATM,THURSDAY,NH,W,WWW,6,7,2011,544715,311900
1046,Mount Road ATM,FRIDAY,NH,W,WWH,6,7,2011,544715,472800
1051,Mount Road ATM,SATURDAY,NH,H,WHH,6,7,2011,544715,610700
1056,Mount Road ATM,SUNDAY,NH,H,HHW,7,7,2011,544715,588400
1061,Mount Road ATM,MONDAY,NH,W,HWW,1,8,2011,508015,1048100
1066,Mount Road ATM,TUESDAY,NH,W,WWW,1,8,2011,508015,673500
1071,Mount Road ATM,WEDNESDAY,NH,W,WWW,1,8,2011,508015,755200
1076,Mount Road ATM,THURSDAY,NH,W,WWW,1,8,2011,508015,571600
1081,Mount Road ATM,FRIDAY,NH,W,WWH,1,8,2011,508015,602700
1086,Mount Road ATM,SATURDAY,NH,H,WHH,2,8,2011,508015,843200
1091,Mount Road ATM,SUNDAY,NH,H,HHW,2,8,2011,508015,753600
1096,Mount Road ATM,MONDAY,NH,W,HWW,2,8,2011,749700,827700
1101,Mount Road ATM,TUESDAY,NH,W,WWW,2,8,2011,749700,644800
1106,Mount Road ATM,WEDNESDAY,NH,W,WWW,2,8,2011,749700,570900
1111,Mount Road ATM,THURSDAY,NH,W,WWW,3,8,2011,749700,555600
1116,Mount Road ATM,FRIDAY,NH,W,WWH,3,8,2011,749700,544000
1121,Mount Road ATM,SATURDAY,NH,H,WHH,3,8,2011,749700,711900
1126,Mount Road ATM,SUNDAY,NH,H,HHH,3,8,2011,749700,485200
1131,Mount Road ATM,MONDAY,N,H,HHW,3,8,2011,620015,372200
1136,Mount Road ATM,TUESDAY,NH,W,HWW,4,8,2011,620015,749100
1141,Mount Road ATM,WEDNESDAY,NH,W,WWW,4,8,2011,620015,648400
1146,Mount Road ATM,THURSDAY,NH,W,WWW,4,8,2011,620015,527300
1151,Mount Road ATM,FRIDAY,NH,W,WWH,4,8,2011,620015,582300
1156,Mount Road ATM,SATURDAY,NH,H,WHH,4,8,2011,620015,751400
1161,Mount Road ATM,SUNDAY,H,H,HHW,5,8,2011,620015,316300
1166,Mount Road ATM,MONDAY,NH,W,HWW,5,8,2011,563858,409000
1171,Mount Road ATM,TUESDAY,NH,W,WWW,5,8,2011,563858,443000
1176,Mount Road ATM,WEDNESDAY,NH,W,WWW,5,8,2011,563858,442000
1181,Mount Road ATM,THURSDAY,NH,W,WWW,5,8,2011,563858,511900
1186,Mount Road ATM,FRIDAY,NH,W,WWH,6,8,2011,563858,551700
1191,Mount Road ATM,SATURDAY,NH,H,WHH,6,8,2011,563858,729300
1196,Mount Road ATM,SUNDAY,NH,H,HHW,6,8,2011,563858,547300
1201,Mount Road ATM,MONDAY,NH,W,HWW,6,8,2011,519172,444400
1206,Mount Road ATM,TUESDAY,NH,W,WHH,6,8,2011,519172,507600
1211,Mount Road ATM,WEDNESDAY,M,H,WHH,7,8,2011,519172,465400
1216,Mount Road ATM,THURSDAY,H,H,HHW,1,9,2011,519172,315600
1221,Mount Road ATM,FRIDAY,NH,W,HWH,1,9,2011,519172,663600
1226,Mount Road ATM,SATURDAY,NH,H,WHH,1,9,2011,519172,733800
1231,Mount Road ATM,SUNDAY,NH,H,HHW,1,9,2011,519172,397100
1236,Mount Road ATM,MONDAY,NH,W,HWW,1,9,2011,503929,828100
1241,Mount Road ATM,TUESDAY,NH,W,WWW,2,9,2011,503929,742700
1246,Mount Road ATM,WEDNESDAY,NH,W,WWW,2,9,2011,503929,795000
1251,Mount Road ATM,THURSDAY,NH,W,WWW,2,9,2011,503929,640100
1256,Mount Road ATM,FRIDAY,NH,W,WWW,2,9,2011,503929,370600
1261,Mount Road ATM,SATURDAY,NH,H,WHH,2,9,2011,503929,444300
1266,Mount Road ATM,SUNDAY,NH,H,HHW,3,9,2011,503929,312900
1271,Mount Road ATM,MONDAY,NH,W,HWW,3,9,2011,590529,468800
1276,Mount Road ATM,TUESDAY,NH,W,WWW,3,9,2011,590529,429100
1281,Mount Road ATM,WEDNESDAY,NH,W,WWW,3,9,2011,590529,299900
1286,Mount Road ATM,THURSDAY,NH,W,WWW,3,9,2011,590529,536400
1291,Mount Road ATM,FRIDAY,NH,W,WWH,4,9,2011,590529,400100
1296,Mount Road ATM,SATURDAY,NH,H,WHH,4,9,2011,590529,335800
1301,Mount Road ATM,SUNDAY,NH,H,HHW,4,9,2011,590529,296300
1306,Mount Road ATM,MONDAY,NH,W,HWW,4,9,2011,395200,616200
1311,Mount Road ATM,TUESDAY,NH,W,WWW,4,9,2011,395200,399000
1316,Mount Road ATM,WEDNESDAY,NH,W,WWW,5,9,2011,395200,577900
1321,Mount Road ATM,THURSDAY,NH,W,WWW,5,9,2011,395200,357300
1326,Mount Road ATM,FRIDAY,NH,W,WWH,5,9,2011,395200,334100
1331,Mount Road ATM,SATURDAY,NH,H,WHH,5,9,2011,395200,612200
1336,Mount Road ATM,SUNDAY,NH,H,HHW,5,9,2011,395200,384300
1341,Mount Road ATM,MONDAY,NH,W,HWW,6,9,2011,468715,384100
1346,Mount Road ATM,TUESDAY,NH,W,WWW,6,9,2011,468715,513500
1351,Mount Road ATM,WEDNESDAY,NH,W,WWW,6,9,2011,468715,460200
1356,Mount Road ATM,THURSDAY,NH,W,WWW,6,9,2011,468715,494400
1361,Mount Road ATM,FRIDAY,NH,W,WWH,6,9,2011,468715,470400
1366,Mount Road ATM,SATURDAY,NH,H,WHH,1,10,2011,468715,788500
1371,Mount Road ATM,SUNDAY,N,H,HHW,1,10,2011,468715,759200
1376,Mount Road ATM,MONDAY,NH,W,HWW,1,10,2011,552900,339700
1381,Mount Road ATM,TUESDAY,NH,W,WWH,1,10,2011,552900,642400
1386,Mount Road ATM,WEDNESDAY,H,H,WHH,1,10,2011,552900,839900
1390,Mount Road ATM,THURSDAY,H,H,HHW,2,10,2011,552900,840200
1395,Mount Road ATM,FRIDAY,NH,W,WWH,2,10,2011,552900,392400
1400,Mount Road ATM,SATURDAY,NH,H,WHH,2,10,2011,552900,729600
1405,Mount Road ATM,SUNDAY,NH,H,HHW,2,10,2011,552900,486400
1410,Mount Road ATM,MONDAY,NH,W,HWW,2,10,2011,610086,662200
1415,Mount Road ATM,TUESDAY,NH,W,WWW,3,10,2011,610086,524300
1420,Mount Road ATM,WEDNESDAY,NH,W,WWW,3,10,2011,610086,472600
1425,Mount Road ATM,THURSDAY,NH,W,WWW,3,10,2011,610086,459100
1430,Mount Road ATM,FRIDAY,NH,W,WWH,3,10,2011,610086,603100
1435,Mount Road ATM,SATURDAY,NH,H,WHH,3,10,2011,610086,591200
1440,Mount Road ATM,SUNDAY,NH,H,HHW,4,10,2011,610086,527900
1445,Mount Road ATM,MONDAY,NH,W,HWW,4,10,2011,548629,466600
1450,Mount Road ATM,TUESDAY,NH,W,WWW,4,10,2011,548629,595100
1455,Mount Road ATM,WEDNESDAY,NH,W,WWW,4,10,2011,548629,621400
1460,Mount Road ATM,THURSDAY,NH,W,WWW,4,10,2011,548629,764600
1465,Mount Road ATM,FRIDAY,NH,W,WWH,5,10,2011,548629,954400
1470,Mount Road ATM,SATURDAY,NH,H,WHH,5,10,2011,548629,948000
1475,Mount Road ATM,SUNDAY,NH,H,HHW,5,10,2011,548629,628500
1480,Mount Road ATM,MONDAY,NH,W,HWW,5,10,2011,711229,665800
1485,Mount Road ATM,TUESDAY,NH,W,WWH,5,10,2011,711229,476100
1490,Mount Road ATM,WEDNESDAY,H,H,WHW,6,10,2011,711229,201600
1495,Mount Road ATM,THURSDAY,NH,W,HWW,6,10,2011,711229,457800
1500,Mount Road ATM,FRIDAY,NH,W,WWH,6,10,2011,711229,513700
1505,Mount Road ATM,SATURDAY,NH,H,WHH,6,10,2011,711229,436300
1510,Mount Road ATM,SUNDAY,NH,H,HHW,6,10,2011,711229,271500
1515,Mount Road ATM,MONDAY,NH,W,HWW,7,10,2011,431829,468600
1520,Mount Road ATM,TUESDAY,NH,W,WWW,1,11,2011,431829,501800
1525,Mount Road ATM,WEDNESDAY,NH,W,WWW,1,11,2011,431829,900000
1530,Mount Road ATM,THURSDAY,NH,W,WWW,1,11,2011,431829,514100
1535,Mount Road ATM,FRIDAY,NH,W,WWH,1,11,2011,431829,436800
1540,Mount Road ATM,SATURDAY,NH,H,WHH,1,11,2011,431829,903100
1545,Mount Road ATM,SUNDAY,NH,H,HHH,2,11,2011,431829,528900
1550,Mount Road ATM,MONDAY,M,H,HHW,2,11,2011,607615,399200
1555,Mount Road ATM,TUESDAY,NH,W,HWW,2,11,2011,607615,585200
1560,Mount Road ATM,WEDNESDAY,NH,W,WWW,2,11,2011,607615,645100
1565,Mount Road ATM,THURSDAY,NH,W,WWW,2,11,2011,607615,508400
1570,Mount Road ATM,FRIDAY,NH,W,WWH,3,11,2011,607615,526200
1574,Mount Road ATM,SATURDAY,NH,H,WHH,3,11,2011,607615,364400
1579,Mount Road ATM,SUNDAY,NH,H,HHW,3,11,2011,607615,319300
1584,Mount Road ATM,MONDAY,NH,W,HWW,3,11,2011,478258,530300
1589,Mount Road ATM,TUESDAY,NH,W,WWW,3,11,2011,478258,525900
1594,Mount Road ATM,WEDNESDAY,NH,W,WWW,4,11,2011,478258,471000
1599,Mount Road ATM,THURSDAY,NH,W,WWW,4,11,2011,478258,340200
1604,Mount Road ATM,FRIDAY,NH,W,WWH,4,11,2011,478258,222400
1609,Mount Road ATM,SATURDAY,NH,H,WHH,4,11,2011,478258,386400
1614,Mount Road ATM,SUNDAY,NH,H,HHW,4,11,2011,478258,399200
1619,Mount Road ATM,MONDAY,NH,W,HWW,5,11,2011,410772,622800
1624,Mount Road ATM,TUESDAY,NH,W,WWW,5,11,2011,410772,311800
1629,Mount Road ATM,WEDNESDAY,NH,W,WWW,5,11,2011,410772,521200
1634,Mount Road ATM,THURSDAY,NH,W,WWW,5,11,2011,410772,359700
1639,Mount Road ATM,FRIDAY,NH,W,WWH,5,11,2011,410772,242500
1644,Mount Road ATM,SATURDAY,NH,H,WHH,6,11,2011,410772,462900
1649,Mount Road ATM,SUNDAY,NH,H,HHW,6,11,2011,410772,249300
1654,Mount Road ATM,MONDAY,NH,W,HWW,6,11,2011,395743,427700
1659,Mount Road ATM,TUESDAY,NH,W,WWW,6,11,2011,395743,436600
1664,Mount Road ATM,WEDNESDAY,NH,W,WWW,6,11,2011,395743,439300
1669,Mount Road ATM,THURSDAY,NH,W,WWW,1,12,2011,395743,560100
1674,Mount Road ATM,FRIDAY,NH,W,WWH,1,12,2011,395743,625900
1679,Mount Road ATM,SATURDAY,NH,H,WHH,1,12,2011,395743,742300
1684,Mount Road ATM,SUNDAY,NH,H,HHW,1,12,2011,395743,532400
1689,Mount Road ATM,MONDAY,NH,W,HWH,1,12,2011,537758,598500
1694,Mount Road ATM,TUESDAY,M,H,WHW,2,12,2011,537758,798100
1699,Mount Road ATM,WEDNESDAY,NH,W,HWW,2,12,2011,537758,670300
1704,Mount Road ATM,THURSDAY,NH,W,WWW,2,12,2011,537758,576600
1709,Mount Road ATM,FRIDAY,NH,W,WWH,2,12,2011,537758,589900
1714,Mount Road ATM,SATURDAY,NH,H,WHH,2,12,2011,537758,528900
